Bright,,,Filios,,,Bowles,,
Species,Date,Location,Species,Date,Location,Species,Date,Location
Pileated Woodpecker,1/1/2016,"CDA, ID",Northern Cardinal,1/1/2016,"Canton, MI",Black-billed Magpie,6Jan2016,"Pullman, WA"
Black-billed Magpie,1/1/2016,"CDA, ID",Blue Jay,1/1/2016,"Canton, MI",Bald Eagle,3Jan2016,"Lewiston, ID"
Common Raven,1/1/2016,"CDA, ID",Mourning Dove,1/1/2016,"Canton, MI",American Kestrel,1Jan2016,"Preston, ID"
Black-capped Chickadee,1/1/2016,"CDA, ID",Canada Goose,1/1/2016,"Canton, MI",Northern Flicker,1Jan2016,"Fairview, ID"
Wild Turkey,1/3/2016,"Hwy 95, ID",White-crowned Sparrow,1/5/2016,"San Francisco, CA",Canada Goose,2Jan2016,"Fairview, ID"
Bald Eagle,1/3/2016,"Hwy 95, ID",Dark-eyed Junco,1/5/2016,"San Francisco, CA",Eurasian Collared Dove,2Jan2016,"Fairview, ID"
American Crow,1/4/2016,"Moscow, ID",European Starling,1/5/2016,"San Francisco, CA",Ring-necked pheasant,3Jan2016,"Weiser, ID"
Red-tailed Hawk,1/4/2016,"Moscow, ID",American Crow,1/5/2016,"San Francisco, CA",Wild Turkey,3Jan2016,"New Meadows, ID"
Downy Woodpecker,1/4/2016,"Moscow, ID",Rock Pigeon,1/5/2016,"San Francisco, CA",American Crow,9Jan2016,"Moscow, ID"
Northern Flicker,1/4/2016,"Moscow, ID",Anna's Hummingbird,1/6/2016,"San Francisco, CA",Common Raven,9Jan2016,"Moscow, ID"
American Kestrel,1/4/2016,"Moscow, ID",American Robin,1/8/2016,"San Francisco, CA",American Robin,9Jan2016,"Moscow, ID"
Merlin,1/4/2016,"Moscow, ID",Brewer's Blackbird,1/11/2016,"San Francisco, CA",Red-tailed Hawk,9Jan2016,"Moscow, ID"
Mountain Chickadee,1/4/2016,"Moscow, ID",Sharp-shinned Hawk,1/13/2016,"San Francisco, CA",European Starling,9Jan2016,U of I Dairy
Brown Creeper,1/4/2016,"Moscow, ID",Bushtit,1/13/2016,"San Francisco, CA",Black-capped Chickadee,14Jan2016,WSU Campus
Bewick's Wren,1/4/2016,"Moscow, ID",House Sparrow,1/14/2016,"San Francisco, CA",California Quail,23Jan2016,"Potlatch, ID"
Townsend's Solitaire,1/4/2016,"Moscow, ID",California Towhee,1/18/2016,"San Francisco, CA",Rough-legged Hawk,23Jan2016,"Potlatch, ID"
American Robin,1/4/2016,"Moscow, ID",Western Gull,1/18/2016,"San Francisco, CA",Red-breasted Nuthatch,27Jan2016,"530 E. E St. Moscow, ID"
European Starling,1/4/2016,"Moscow, ID",Red-masked Parakeet,1/18/2016,"San Francisco, CA",Mallard,24Jan2016,"Latah, ID"
Dark-eyed Junco,1/4/2016,"Moscow, ID",Red-winged Blackbird,1/18/2016,"San Francisco, CA",Dark-eyed Junco,31Jan2016,"Fairview, ID"
