Species,Location,Birder,Clean_Dates
Pileated Woodpecker,"CDA, ID",Bright,2016-01-01
Black-billed Magpie,"CDA, ID",Bright,2016-01-01
Common Raven,"CDA, ID",Bright,2016-01-01
Black-capped Chickadee,"CDA, ID",Bright,2016-01-01
Wild Turkey,"Hwy 95, ID",Bright,2016-01-03
Bald Eagle,"Hwy 95, ID",Bright,2016-01-03
American Crow,"Moscow, ID",Bright,2016-01-04
Red-tailed Hawk,"Moscow, ID",Bright,2016-01-04
Downy Woodpecker,"Moscow, ID",Bright,2016-01-04
Northern Flicker,"Moscow, ID",Bright,2016-01-04
American Kestrel,"Moscow, ID",Bright,2016-01-04
Merlin,"Moscow, ID",Bright,2016-01-04
Mountain Chickadee,"Moscow, ID",Bright,2016-01-04
Brown Creeper,"Moscow, ID",Bright,2016-01-04
Bewick's Wren,"Moscow, ID",Bright,2016-01-04
Townsend's Solitaire,"Moscow, ID",Bright,2016-01-04
American Robin,"Moscow, ID",Bright,2016-01-04
European Starling,"Moscow, ID",Bright,2016-01-04
Dark-eyed Junco,"Moscow, ID",Bright,2016-01-04
Pine Grosbeak,"Moscow, ID",Bright,2016-01-04
House Finch,"Moscow, ID",Bright,2016-01-04
Purple Finch,"Moscow, ID",Bright,2016-01-04
Red Crossbill,"Moscow, ID",Bright,2016-01-04
Pine Siskin,"Moscow, ID",Bright,2016-01-04
Lesser Goldfinch,"Moscow, ID",Bright,2016-01-04
American Goldfinch,"Moscow, ID",Bright,2016-01-04
Red-breasted Nuthatch,"Moscow, ID",Bright,2016-01-05
Bohemian Waxwing,"Moscow, ID",Bright,2016-01-05
Rock Pigeon,"Moscow, ID",Bright,2016-01-05
House Sparrow,"Moscow, ID",Bright,2016-01-05
Eurasian Collared-Dove,"Moscow, ID",Bright,2016-01-06
California Quail,"Moscow, ID",Bright,2016-01-06
Common Redpoll,"Moscow, ID",Bright,2016-01-06
Cooper's Hawk,"Moscow, ID",Bright,2016-01-09
Prairie Falcon,"Latah, ID",Bright,2016-01-09
Ring-necked Pheasant,"Latah, ID",Bright,2016-01-09
Mallard,"Moscow, ID",Bright,2016-01-09
Great Blue Heron,"Moscow, ID",Bright,2016-01-09
Song Sparrow,"Moscow, ID",Bright,2016-01-09
Northern Shrike,"Latah, ID",Bright,2016-01-10
Gray Partridge,"Latah, ID",Bright,2016-01-11
Horned Lark,"Latah, ID",Bright,2016-01-11
American Tree Sparrow,"Genesee, ID",Bright,2016-01-11
Varied Thrush,"Moscow, ID",Bright,2016-01-12
White-winged Crossbill,"Moscow, ID",Bright,2016-01-18
Mourning Dove,"Moscow, ID",Bright,2016-01-18
Golden-crowned Kinglet,"Moscow, ID",Bright,2016-01-18
Canada Goose,"Moscow, ID",Bright,2016-01-18
White-breasted Nuthatch,"Latah, ID",Bright,2016-01-20
Great Horned Owl,"Latah, ID",Bright,2016-01-20
Cedar Waxwing,"Moscow, ID",Bright,2016-01-25
Northern Pygmy-Owl,"Moscow, ID",Bright,2016-01-31
Barred Owl,"Moscow, ID",Bright,2016-02-03
White-crowned Sparrow,"Moscow, ID",Bright,2016-02-03
Red-winged Blackbird,"Moscow, ID",Bright,2016-02-12
Cackling Goose,"Latah, ID",Bright,2016-02-17
Rough-legged Hawk,"Latah, ID",Bright,2016-02-17
Bufflehead,"Latah, ID",Bright,2016-02-22
Common Goldeneye,"Latah, ID",Bright,2016-02-22
Killdeer,"Moscow, ID",Bright,2016-03-03
Say's Phoebe,"Moscow, ID",Bright,2016-03-17
Western Bluebird,"Latah, ID",Bright,2016-03-18
Spotted Towhee,"Latah, ID",Bright,2016-03-18
Western Meadowlark,"Latah, ID",Bright,2016-03-18
Pacific Wren,"Kootenai, ID",Bright,2016-03-19
Chestnut-backed Chickadee,"Kootenai, ID",Bright,2016-03-20
Gadwall,"Genesee, ID",Bright,2016-03-24
Lesser Scaup,"Genesee, ID",Bright,2016-03-24
Northern Shoveler,"Latah, ID",Bright,2016-04-04
Green-winged Teal,"Latah, ID",Bright,2016-04-04
Northern Harrier,"Latah, ID",Bright,2016-04-04
American Coot,"Latah, ID",Bright,2016-04-04
Savannah Sparrow,"Latah, ID",Bright,2016-04-04
Black-chinned X Calliope Hummingbird,"Moscow, ID",Bright,2016-04-08
Ruby-crowned Kinglet,"Moscow, ID",Bright,2016-04-08
